instrument,action,size,entry_price,stop_loss,take_profit,entry_time,exit_price,exit_time,pnl,exit_reason
BTCUSD,SELL,0.9415984755072669,91027.1,91186.40357142857,90549.1892857143,2025-11-18T12:10:00+00:00,91186.40357142857,2025-11-18T12:15:00+00:00,-150.0,stop_loss
BTCUSD,BUY,0.8114947038053861,91707.65,91525.57857142856,92253.86428571428,2025-11-18T12:40:00+00:00,91525.57857142856,2025-11-18T12:50:00+00:00,-147.75,stop_loss
BTCUSD,SELL,0.7721062205127301,90988.3,91176.78928571429,90422.83214285714,2025-11-18T13:35:00+00:00,91176.78928571429,2025-11-18T13:40:00+00:00,-145.53375,stop_loss
BTCUSD,BUY,0.5364564527338389,91962.05,91694.83214285714,92763.70357142859,2025-11-18T14:30:00+00:00,91694.83214285714,2025-11-18T14:40:00+00:00,-143.35074375,stop_loss
BTCUSD,SELL,0.8044956683674184,91135.65,91311.16428571429,90609.10714285713,2025-11-19T14:05:00+00:00,91311.16428571429,2025-11-19T14:10:00+00:00,-141.20048259375,stop_loss
BTCUSD,SELL,0.7085328875672133,91061.9,91258.19642857142,90473.0107142857,2025-11-19T14:25:00+00:00,91258.19642857142,2025-11-19T14:30:00+00:00,-139.08247535484375,stop_loss
BTCUSD,BUY,0.4632723031747025,92157.45,91861.7357142857,93044.59285714285,2025-11-19T15:05:00+00:00,91861.7357142857,2025-11-19T15:20:00+00:00,-136.9962382245211,stop_loss
BTCUSD,SELL,0.3639018241755466,90673.8,91044.61785714286,89561.34642857143,2025-11-19T15:30:00+00:00,89561.34642857143,2025-11-19T16:25:00+00:00,404.8238839534598,take_profit
BTCUSD,SELL,0.46861178080072374,90963.15,91264.06785714286,90060.39642857142,2025-11-20T14:00:00+00:00,91264.06785714286,2025-11-20T14:20:00+00:00,-141.0136529104552,stop_loss
BTCUSD,SELL,0.3414326202314441,90308.65,90715.46071428571,89088.21785714285,2025-11-20T15:10:00+00:00,90715.46071428571,2025-11-20T15:20:00+00:00,-138.89844811679836,stop_loss
BTCUSD,SELL,0.3799586597232025,90094.55,90454.62857142858,89014.31428571428,2025-11-20T15:50:00+00:00,89014.31428571428,2025-11-20T16:05:00+00:00,410.4449141851391,take_profit
BTCUSD,SELL,0.3668089414142925,88852.35,89242.12142857144,87683.03571428572,2025-11-20T16:05:00+00:00,87683.03571428572,2025-11-20T16:55:00+00:00,428.91493532346504,take_profit
BTCUSD,SELL,0.8232672759190358,85309.4,85490.87857142856,84764.96428571429,2025-11-21T07:15:00+00:00,84764.96428571429,2025-11-21T07:30:00+00:00,448.2161074130263,take_profit
BTCUSD,SELL,0.3868639304933952,83367.4,83770.97499999999,82156.675,2025-11-21T07:30:00+00:00,83770.97499999999,2025-11-21T07:35:00+00:00,-156.12861074887084,stop_loss
BTCUSD,SELL,0.5508400814171329,82537.55,82816.7357142857,81699.99285714288,2025-11-21T09:40:00+00:00,81699.99285714288,2025-11-21T10:00:00+00:00,461.36004476292135,take_profit
BTCUSD,SELL,0.48739204359151794,81809.8,82139.52857142857,80820.6142857143,2025-11-21T10:00:00+00:00,82139.52857142857,2025-11-21T10:05:00+00:00,-160.7070822590816,stop_loss
BTCUSD,SELL,0.9201181890983037,83765.3,83937.33928571429,83249.18214285714,2025-11-22T10:20:00+00:00,83937.33928571429,2025-11-22T11:05:00+00:00,-158.29647602519537,stop_loss
BTCUSD,BUY,0.9573949713328824,84376.05,84213.1892857143,84864.63214285715,2025-11-22T14:10:00+00:00,84213.1892857143,2025-11-22T14:45:00+00:00,-155.92202888481742,stop_loss
BTCUSD,BUY,1.0448344323444179,84765.7,84618.70714285714,85206.67857142858,2025-11-22T16:40:00+00:00,84618.70714285714,2025-11-22T16:50:00+00:00,-153.58319845154517,stop_loss
BTCUSD,BUY,1.2582653913063608,86093.35,85973.12142857144,86454.03571428572,2025-11-23T08:55:00+00:00,85973.12142857144,2025-11-23T11:00:00+00:00,-151.279450474772,stop_loss
BTCUSD,BUY,1.0587949155190635,86557.4,86416.66428571429,86979.60714285713,2025-11-23T12:10:00+00:00,86416.66428571429,2025-11-23T13:10:00+00:00,-149.01025871765043,stop_loss
BTCUSD,BUY,0.8183887797823026,86888.35,86709.00357142858,87426.3892857143,2025-11-23T13:55:00+00:00,86709.00357142858,2025-11-23T14:15:00+00:00,-146.77510483688567,stop_loss
BTCUSD,BUY,1.0192510301645303,87225.9,87084.05714285714,87651.42857142857,2025-11-23T16:00:00+00:00,87084.05714285714,2025-11-23T16:10:00+00:00,-144.57347826433238,stop_loss
BTCUSD,SELL,0.8582115173005977,86533.15,86699.08214285714,86035.35357142857,2025-11-24T09:05:00+00:00,86035.35357142857,2025-11-24T09:20:00+00:00,427.2146282711022,take_profit
BTCUSD,SELL,0.8221231328856049,86002.75,86183.76071428572,85459.71785714285,2025-11-24T09:20:00+00:00,86183.76071428572,2025-11-24T11:35:00+00:00,-148.8130955144339,stop_loss
BTCUSD,SELL,0.6069781972681867,85526.5,85767.99285714286,84802.02142857142,2025-11-24T14:40:00+00:00,85767.99285714286,2025-11-24T14:50:00+00:00,-146.58089908171743,stop_loss
BTCUSD,BUY,0.41439800695741447,87042.15,86693.7357142857,88087.39285714284,2025-11-24T16:00:00+00:00,88087.39285714284,2025-11-24T17:55:00+00:00,433.14655678646903,take_profit
BTCUSD,SELL,1.1397568527825799,87394.4,87526.77857142857,86997.26428571426,2025-11-25T07:50:00+00:00,87526.77857142857,2025-11-25T08:20:00+00:00,-150.8793839472887,stop_loss
BTCUSD,SELL,1.1392579010201815,87220.85,87351.3,86829.50000000001,2025-11-25T08:45:00+00:00,86829.50000000001,2025-11-25T09:10:00+00:00,445.8485795642381,take_profit
BTCUSD,SELL,1.2150069328535875,86816.55,86944.37142857144,86433.08571428571,2025-11-25T09:10:00+00:00,86944.37142857144,2025-11-25T09:40:00+00:00,-155.30392188154292,stop_loss
BTCUSD,SELL,0.9769146232165219,87175.05,87331.6392857143,86705.28214285715,2025-11-25T13:35:00+00:00,86705.28214285715,2025-11-25T14:40:00+00:00,458.92308915994516,take_profit
BTCUSD,BUY,1.7920606409656907,87906.85,87817.64642857143,88174.46071428571,2025-11-26T07:55:00+00:00,87817.64642857143,2025-11-26T08:00:00+00:00,-159.85820939071897,stop_loss
BTCUSD,SELL,1.8154784496586056,87287.05,87373.78214285715,87026.85357142858,2025-11-26T09:05:00+00:00,87373.78214285715,2025-11-26T09:10:00+00:00,-157.4603362498582,stop_loss
BTCUSD,SELL,1.8959032889946443,87282.3,87364.10714285714,87036.87857142858,2025-11-26T09:15:00+00:00,87036.87857142858,2025-11-26T09:30:00+00:00,465.2952936183309,take_profit
BTCUSD,SELL,1.7939597964544278,86951.4,87041.74642857142,86680.3607142857,2025-11-26T09:30:00+00:00,86680.3607142857,2025-11-26T10:30:00+00:00,486.23358183115573,take_profit
BTCUSD,BUY,2.258930266485702,91508.2,91433.22142857143,91733.1357142857,2025-11-27T08:50:00+00:00,91733.1357142857,2025-11-27T09:15:00+00:00,508.1140930135577,take_profit
BTCUSD,BUY,2.4124062310886014,91747.05,91673.68214285714,91967.15357142857,2025-11-27T09:15:00+00:00,91673.68214285714,2025-11-27T09:20:00+00:00,-176.99307573305595,stop_loss
BTCUSD,BUY,1.9360921067377215,91799.7,91709.65357142857,92069.83928571428,2025-11-27T09:30:00+00:00,91709.65357142857,2025-11-27T09:45:00+00:00,-174.33817959706008,stop_loss
BTCUSD,BUY,1.1773088301673982,91220.7,91074.83928571428,91658.28214285715,2025-11-27T16:10:00+00:00,91658.28214285715,2025-11-27T18:35:00+00:00,515.1693207092954,take_profit
BTCUSD,SELL,1.9857795945084036,91155.25,91245.61785714286,90884.14642857143,2025-11-28T07:35:00+00:00,90884.14642857143,2025-11-28T07:55:00+00:00,538.351940141202,take_profit
BTCUSD,BUY,2.380417953959631,91834.7,91755.92142857143,92071.03571428571,2025-11-28T10:50:00+00:00,91755.92142857143,2025-11-28T11:00:00+00:00,-187.52592581586165,stop_loss
BTCUSD,SELL,1.4134141435289906,91164.25,91294.93571428572,90772.19285714286,2025-11-28T11:15:00+00:00,91294.93571428572,2025-11-28T11:20:00+00:00,-184.7130369286237,stop_loss
BTCUSD,BUY,1.6983549668259716,91800.3,91693.17142857143,92121.68571428572,2025-11-28T13:35:00+00:00,92121.68571428572,2025-11-28T13:45:00+00:00,545.8270241240583,take_profit
BTCUSD,SELL,2.8798187323505777,90549.95,90615.97142857143,90351.8857142857,2025-11-29T08:00:00+00:00,90615.97142857143,2025-11-29T08:05:00+00:00,-190.12974673655523,stop_loss
BTCUSD,SELL,3.281668699539469,90494.75,90551.81785714286,90323.54642857143,2025-11-29T10:15:00+00:00,90551.81785714286,2025-11-29T10:20:00+00:00,-187.2778005355069,stop_loss
BTCUSD,BUY,3.74365567787917,90970.5,90921.225,91118.325,2025-11-30T07:10:00+00:00,91118.325,2025-11-30T08:20:00+00:00,553.4059005824774,take_profit
BTCUSD,BUY,2.613320527265132,91331.05,91257.28571428571,91552.34285714285,2025-11-30T08:20:00+00:00,91257.28571428571,2025-11-30T08:25:00+00:00,-192.76972203621145,stop_loss
BTCUSD,BUY,1.303085522980039,91506.9,91361.1857142857,91944.04285714285,2025-11-30T09:10:00+00:00,91361.1857142857,2025-11-30T09:25:00+00:00,-189.87817620566827,stop_loss
BTCUSD,BUY,2.1434348803833316,91459.75,91372.49285714286,91721.52142857143,2025-11-30T12:40:00+00:00,91721.52142857143,2025-11-30T13:20:00+00:00,561.0900106877809,take_profit
BTCUSD,SELL,2.6373483875860466,86493.25,86567.35714285714,86270.92857142858,2025-12-01T11:05:00+00:00,86270.92857142858,2025-12-01T11:40:00+00:00,586.3390611686616,take_profit
BTCUSD,SELL,2.654702585614937,86278.8,86355.73571428572,86047.99285714286,2025-12-01T11:40:00+00:00,86047.99285714286,2025-12-01T12:05:00+00:00,612.7243189212511,take_profit
BTCUSD,SELL,2.1472062819339026,85993.05,86092.45000000001,85694.85,2025-12-01T12:05:00+00:00,85694.85,2025-12-01T12:30:00+00:00,640.2969132726835,take_profit
BTCUSD,SELL,1.6847494408798456,85693.15,85825.53571428571,85295.99285714285,2025-12-01T12:30:00+00:00,85825.53571428571,2025-12-01T12:35:00+00:00,-223.03675812333893,stop_loss
BTCUSD,BUY,2.2067636911361697,87049.6,86950.04642857144,87348.26071428572,2025-12-02T10:40:00+00:00,87348.26071428572,2025-12-02T10:50:00+00:00,659.0736202544987,take_profit
BTCUSD,BUY,1.6814011429333573,87712.15,87575.6107142857,88121.76785714286,2025-12-02T13:50:00+00:00,88121.76785714286,2025-12-02T14:05:00+00:00,688.7319331659189,take_profit
BTCUSD,BUY,1.3556328950351646,88111.2,87934.22857142857,88642.11428571428,2025-12-02T14:05:00+00:00,88642.11428571428,2025-12-02T14:25:00+00:00,719.7248701583853,take_profit
BTCUSD,BUY,1.207610068458927,88676.95,88469.34642857143,89299.7607142857,2025-12-02T14:25:00+00:00,88469.34642857143,2025-12-02T14:40:00+00:00,-250.70416310517086,stop_loss
BTCUSD,BUY,1.9231832721721787,93207.15,93078.74642857142,93592.3607142857,2025-12-03T09:55:00+00:00,93078.74642857142,2025-12-03T10:00:00+00:00,-246.94360065859328,stop_loss
BTCUSD,BUY,2.159249415434771,93376.85,93264.20000000001,93714.8,2025-12-03T10:20:00+00:00,93264.20000000001,2025-12-03T10:25:00+00:00,-243.2394466487144,stop_loss
